zipcode,dbh_mean,curb_ratio,sidewalk_ratio,species_1,species_2,species_3,tree_count,Good,Fair,Poor,issuing_agency_1,issuing_agency_2,issuing_agency_3,penalty_imposed,charge_1,charge_2,charge_3,crime_count,cluster
10014,9.023571713943268,55.88636363636363,3.0965630114566283,6.0,2.0,12.0,2503,1918,460,125,4.0,18.0,15.0,784.2286609240407,3.0,31.0,109.0,6944,2
10016,8.307563025210085,24.869565217391305,1.7127659574468086,7.0,2.0,10.0,1785,1206,445,134,4.0,13.0,21.0,945.7725683982162,3.0,31.0,42.0,9173,2
10017,7.676108374384237,14.92156862745098,3.6136363636363638,7.0,8.0,2.0,812,592,165,55,4.0,13.0,6.0,1068.9930633251286,3.0,31.0,42.0,4995,2
10018,6.0476190476190474,1.0,12.363636363636363,1.0,8.0,14.0,441,384,38,19,4.0,13.0,21.0,1088.3630384044134,3.0,31.0,42.0,5560,2
10019,7.672019765287215,11.84920634920635,3.5605633802816903,7.0,2.0,10.0,1619,1066,442,111,4.0,13.0,21.0,929.3674077469631,3.0,31.0,42.0,9756,2
10020,6.595744680851064,1.0,3.0869565217391304,7.0,10.0,12.0,94,66,26,2,4.0,2.0,7.0,736.547619047619,3.0,43.0,31.0,351,2
10021,9.348541114058355,35.25,1.4576271186440677,7.0,2.0,10.0,1885,1368,350,167,4.0,13.0,21.0,875.6649018997197,3.0,113.0,31.0,3671,2
10022,8.013341804320204,19.986666666666668,2.6948356807511735,7.0,8.0,2.0,1574,1172,311,91,4.0,13.0,21.0,884.6129753914989,3.0,43.0,31.0,7611,2
10023,8.64275987290059,11.588571428571429,4.245238095238095,7.0,2.0,8.0,2203,1756,375,72,4.0,13.0,6.0,924.992503748126,101.0,132.0,3.0,3938,2
10024,11.27205199628598,4.698412698412699,7.7560975609756095,7.0,13.0,1.0,3231,2763,370,98,4.0,18.0,16.0,760.0861117244425,96.0,113.0,3.0,5095,2
10025,9.329971988795519,11.75,3.618369987063389,7.0,8.0,2.0,3570,2796,576,198,4.0,18.0,16.0,875.8759367194006,96.0,4.0,31.0,6753,2
10026,9.537026568682872,29.5,3.152582159624413,7.0,4.0,10.0,1769,1285,380,104,4.0,22.0,21.0,578.3518371662701,68.0,106.0,107.0,4169,0
10027,8.17469244288225,37.97260273972603,4.347744360902255,7.0,2.0,10.0,2845,2214,443,188,16.0,6.0,15.0,666.0748395177704,106.0,111.0,113.0,7079,0
10028,9.33527696793003,94.27777777777777,1.9266211604095562,7.0,2.0,10.0,1715,1229,354,132,4.0,18.0,16.0,899.8422752111277,101.0,31.0,3.0,4455,2
10029,8.043264942016057,12.345238095238095,1.610011641443539,7.0,4.0,3.0,2242,1579,542,121,4.0,18.0,22.0,721.2655566767575,99.0,109.0,111.0,6468,0
10030,8.534653465346535,28.177777777777777,2.1486810551558753,7.0,2.0,10.0,1313,1067,209,37,16.0,22.0,15.0,617.3427188737352,68.0,76.0,107.0,2526,0
10031,8.759364820846905,22.39047619047619,2.867716535433071,7.0,13.0,8.0,2456,1912,418,126,4.0,18.0,25.0,659.4690644401627,99.0,76.0,111.0,5144,0
